rank,word_fr,word_en,tag,phrase_fr,phrase_en
32,comme,"like, as","adv,conj"," Tony et moi, on est comme des frères "," Tony and I, we're like brothers "
33,ou,or,conj, il en reste du café ou pas? , is there some coffee left or not? 
34,si,"if, whether","adv,conj,nmi"," aujourd'hui, notre économie va si mal ", today our economy is going so poorly 
35,leur,"them, their, theirs","det,adj(f),pro", l'énergie solaire assurait leur survie , solar energy assured their survival 
36,y,there,"adv,nmi,pro", c'est certain qu'on va y aller , it's for certain that we'll be going there 
37,dire,to say,"nm,v", je décrochais le téléphone sans rien dire à personne , I picked up the telephone receiver without saying anything to anyone
38,elle,"she, her",pro, j'étais fou amoureux. elle m'aimait bien , I was head-over-heels in love. she loved me a lot 
39,devoir,"to have to, owe; duty","nm,v", je dois travailler sans la moindre entrave , I must work without the least bit of hindrance 
40,avant,before,"adji,adv,nm,prep", tu vas te pencher en avant , you're going to lean forward 
41,deux,two,"det,nmi", il prend le train deux fois par semaine pour affaires , he takes the train on business twice per week
42,même,"same, even, self","adj(f),adv,pro", ils ne s'excusent même pas , they don't even excuse themselves 
43,prendre,to take,v, elle lui prit la main , she took him by the hand 
44,aussi,"too, also, as","adv,conj", je rêvais aussi de beaucoup voyager , I also dreamed of traveling a lot 
45,celui,"that, the one, he, him",pro, tu es celui que je respecte le plus , you're the one I respect the most 
46,donner,to give,v, j'aurais donné ma vie pour lui , I would have given my life for him 
47,bien,"i,adv,nm well",adj, tout va bien maintenant , everything's going well now 
48,où,where,"adv,pro", on ne dit pas où il vit , they aren't saying where he lives 
49,fois,"time, times",nf(pl), lève la main une fois , raise your hand one time 
50,vous,you,pro," ici, vous avez une personnalité publique "," here, you are a public personality "
51,encore,"again, yet",adv, tu as encore menti à ta femme , you lied once again to your wife 
52,nouveau,new,"adj,nm", il a construit une nouvelle vie ici , he made a new life for himself here 
53,aller,to go,"nm,v"," tu devrais aller te coucher, tu as l'air vanné "," you should go to bed, you look wiped out "
54,cela,"that, it",pro, cela demande de l'intégrité et du courage , that requires integrity and courage 
55,entre,between,prep, je marche entre les maisons , I'm walking between the houses 
56,premier,first,"det,nadj"," est-elle la première épouse, la deuxième? "," is she the first wife, the second one? "
57,vouloir,to want,"nm,v", tu veux faire ton chemin. c'est bien , you want to continue on your way. that's OK 
58,déjà,already,adv, les rues étaient déjà pleines de monde , the streets were already full of people 
59,grand,"great, big, tall","adv,nadj", tu es plus grand que je pensais , you're taller than I thought 
60,mon,my,det, t'aurais pu rencontrer mon copain , you could've met my buddy 
61,me,"me, to me, myself",pro, reviens me voir dans cinq ou six ans , come back to see me in five or six years 
62,moins,less,"adji(pl),adv,nm(pl),prep", il avait moins d'excuses encore que ses complices , he had even less excuses than his accomplices did
63,aucun,"none, either, neither, not any","det,adj,pro", trop d'argent et aucun goût , too much money and no taste 
64,lui,"him, her",pro, mais j'ai confiance qu'en lui , but I have confidence in him 
65,temps,time,nm(pl)," sur le plan spirituel, le temps n'existe pas "," on the spiritual level, time does not exist "
66,très,very,adv," j'ai été bonne? très, très bonne "," was I good? very, very good "
67,savoir,to know,"nm,v", je ne savais plus quoi dire , I didn't know what to say any more 
68,falloir,"to take, require, need",v," il ne faut pas être raciste, point "," there's no need to be a racist, at all "
69,voir,to see,v, je tenais seulement à te voir pour te dire ... bonne chance , I just wanted to see you to say ... good luck
70,quelque,some,"adv,adj,det", il restera pour quelques mois , he will stay for a few months 
71,sans,without,prep, je fais plus jeune sans maquillage , I look younger without makeup 
72,raison,reason,nf," elle a raison, tu sais "," she's right, you know "
73,notre,our,det, notre ville a le sens de la communauté , our city has a sense of community 
74,dont,"whose, of which",pro, on a tout ce dont tu rêvais en ville , everything you dreamed about is available in town 
75,non,"no, not","adv,nmi"," non, je ne peux pas parler maintenant "," no, I can't talk now "
76,an,year,nm, j'avais un an à la mort de mon père , I was one year old when my father died 
77,monde,"world, people",nm, notre ultime but est de reconstruire le monde , our ultimate goal is to remake the world 
78,jour,day,nm," un jour, je retrouverais mes vrais parents "," one day, I would find my real parents "
79,monsieur,"mister, sir, gentleman",nm," comment allez-vous , monsieur? "," how are you, sir? "
80,demander,to ask for,v, j'ai un service à vous demander , I would like to ask you to do something for me 
81,alors,"then, so",adv, et alors? vous revenez quand? , so? when are you coming back ? 
82,après,after,"adv,prep", il a succombé à ses blessures peu après , he shortly thereafter succumbed to his wounds 
83,trouver,to find,v, j'ai trouvé du sang. sur le siège avant , I found some blood. on the front seat 
84,personne,"person, people, anybody, anyone, nobody","nf,pro", il ne parlait à personne en particulier , he was speaking to nobody in particular 
85,rendre,"to render, return, yield, give up",v, je m'y rendis à 4 heures du matin , I went there at 4 o'clock in the morning 
86,part,share,nf, je voudrais vous faire part de quelques données , I want to share some data with you 
87,dernier,last,nadj, c'est le dernier endroit où vous auriez dû vous rencontrer , that's the last place you should have met
88,venir,to come,v, venez rencontrer les autres , come meet the others 
89,pendant,during; pendant,"adj,prep,nm", où t'étais pendant tout ce temps? , where were you all of this time? 
90,passer,to pass,v, nous sommes passées devant la maison de ma grand-mère , we went past the front of my grandmother's place
91,peu,little,adv, un secret se dévoile peu à peu , a secret unfolds little by little 
92,lequel,"who, whom, which",pro, il y a bien des points sur lesquels je voudrais faire des commentaires , there are many points on which I would like to comment
93,suite,"result, follow-up, rest",nf," deux, trois et ainsi de suite "," two, three, and so on "
94,bon,good,"adj,adv,intj,nm", ce n'est pas le bon moment , it's not a good time 
95,comprendre,to understand,v, je comprends que vous soyez fâché , I understand that you're upset 
96,depuis,"since, for","adv,prep", je le connais depuis le lycée , I have known him since high school 
97,point,point; at all,"adv,nm", je suis d'accord avec ce point de vue , I'm in agreement with that point of view 
98,ainsi,thus,adv, qu'est-ce qui le pousse à agir ainsi? , what drives him to act that way? 
99,heure,hour,nf, a quelle heure sont-ils partis? , at what time did they leave? 
100,rester,to stay,v," le temps qu'il te reste, trouve une solution "," in the remaining time, find a solution "
101,seul,"alone, only",adj, parler tout seul était signe d'aliénation , talking to oneself was a sign of loneliness 
102,année,year,nf, il devait se présenter l'année suivante , he had to show up the next year 
103,toujours,always,adv, tu es toujours en retard , you're always late 
104,tenir,to hold,v, c'est une porte de sécurité. tiens ça , it's a security door. hold this 
105,porter,"to wear, carry","nm,v", il a porté le maillot jaune un jour , he wore the yellow jersey one day 
106,parler,to speak,"nm,v", je sais de quoi je parle , I know what I'm talking about 
107,fort,strong,"adv,adj,nm", c'est une femme forte , she is a strong woman 
108,montrer,to show,v, c'est une étrange façon de montrer votre reconnaissance , that's a strange way to show your gratitude
109,là,"there, here","adv,intj", je n'étais pas passé par là , I hadn't passed by there 
110,certain,"certain, sure","adj,det,nm,pro", certains ont affirmé que le gouvernement était trop faible , some contend that the government was too weak
111,fin,end; gist; clever person,"adj,adv,nf,nm", la fin est importante en toutes choses , the ending is important in everything 
112,tu,you,pro," a ma place, tu ne le ferais pas "," in my position, you would not do it "
113,continuer,to continue,v, tu continues de m'impressionner , you continue to impress me 
114,pays,country,nm(pl), ils vivent dans ce beau pays , they live in this beautiful country 
115,trois,three,"det,nmi", les trois chasseurs étaient en pleine lumière , the three hunters were directly in the light 
116,penser,to think,"nm,v", je pense que vous le connaissez bien , I think you know him very well 
117,lieu,place,nm, je suis né dans un lieu public , I was born in a public place 
118,partie,part,nf, il garde la majeure partie de cet argent , he's keeping most of that money 
119,quand,when,"adv,conj", tu aurais dû me tuer quand tu en as eu l'occasion , you should have killed me when you had the chance
120,suivre,to follow,v," les autres, suivez-moi! "," everybody else, follow me! "
121,contre,against,"adv,nm,prep"," je vois, tu es en colère contre moi ", I see you're angry with me 
122,sous,under,prep, juste sous ton nez , right under your nose 
123,côté,side,nm, il s'arrête à côté du fauteuil , he stops beside the armchair 
124,ensemble,together,"adv,nm", on n'a jamais été si bien ensemble , we've never gotten along so well together 
125,chose,thing,"adj(f),nf", les choses pourraient bien changer à l'avenir , things could change in the future 
126,enfant,child,"nm,nf,adj(f)", mes enfants sont en vie , my children are alive 
127,cause,cause,nf, ces hallucinations ont une cause , these hallucinations have a cause 
128,politique,politics; political,nadj(f), elle se spécialise en sciences politiques , her specialty is political science 
129,place,"room, space, square, place",nf, je n'aimerais pas être à votre place , I wouldn't want to be in your stead 
130,seulement,only,adv," on va seulement rester quelques jours, ma chérie "," we're only going to stay a few days, my dear"
131,moi,me,"nm,pro", tu sors avec moi ce soir? , are you going out with me tonight? 
132,vie,life,nf, je suis sûr qu'elle est en vie , I'm sure she's alive 
133,connaître,to know,v, je le connaissais depuis vingt ans , I had known him for twenty years 
134,jusque,"to, up to, until","adv,prep", ils me poursuivirent jusque dans la rue , they followed me right into the street 
135,croire,to believe,v, je n'arrive pas à y croire , I just can't believe it 
136,homme,man,nm, l'homme est plus important que l'État , man is more important than country 
137,cas,case,nm(pl)," en tout cas, moi, je ne l'ai pas "," in any case, I don't have it "
138,petit,"small, little",nadj, ce petit drogué n'a pas tort , this little drug addict isn't wrong 
139,commencer,"to begin, start",v, il est important que ces entretiens commencent immédiatement , it's important that these meetings start immediately
140,compter,to count,v, je peux compter sur toi , I can count on you 
141,fait,"done, fact","adj,nm"," dans les faits, il a raison "," factually, he is correct "
142,tel,such,"adj,det,pro", je vais m'abstenir d'employer un tel langage , I'm going to refrain from using such language 
143,droit,right,"adj,adv,nm", elle a le droit de tout savoir , she has the right to know everything 
144,question,question,nf, je suis gêné de répondre à cette question , I'm embarrassed to answer this question 
145,donc,"so, then, therefore, thus",conj, nous avons donc dû faire les calculs nous-mêmes , we had to do the calculations ourselves 
146,quel,"which, what","det,adj,pro", quel livre cherchiez-vous? , which book are you looking for? 
147,général,general,nadj, voici quelques conseils généraux , here are a few general pieces of advice 
148,moment,moment,nm, arrête de parler pour un moment , stop talking for a moment 
149,entendre,to hear,v, j'ai entendu la nouvelle , I heard the news 
150,beaucoup,"much, a lot of, many",adv, il est en mesure de révéler beaucoup de choses , he's in a position to reveal many things 
151,chaque,each,"det,adj", chaque entreprise doit avoir sa propre organisation , every company must have its own organization
152,jeune,young,nadj(f), le gouvernement cherche à exploiter les jeunes , the government is trying to exploit young people
153,travail,work,nm, je ne prenais pas mon travail au sérieux , I wasn't taking my work seriously 
154,femme,"woman, wife",nf, je vous déclare maintenant mari et femme , I now declare you husband and wife 
155,attendre,to wait,v, ma mère m'attend dans la grande salle , my mother awaits me in the large room 
156,remettre,"to deliver, replace, set, put",v, on s'est remis à marcher , we resumed walking 
157,appeler,to call,v, comment s'appelle-t-il? , what's his name? 
158,permettre,to allow,v, vous permettez que j'utilise votre téléphone? , would you allow me to use your telephone? 
159,occuper,to occupy,v, sa main droite était occupée à tenir la petite valise , his right hand was busy holding the small suitcase
160,gouvernement,government,nm, le gouvernement a augmenté les impôts , the government increased taxes 
161,eux,them,pro, c'est eux qui comptent , they are the ones who matter 
162,devenir,to become,"nm,v", je suis très heureux que vous deveniez ma voisine , I'm very happy you've become my neighbor
163,partir,to leave,v, il est parti à présent , he is gone for the moment 
164,plan,plan,"adj,nm", achetez donc un plan de la ville , so buy a map of the city 
165,décider,to decide,v, j'ai décidé d'écrire un roman , I decided to write a novel 
166,soit,either...or,"adv,conj", il a pas le choix: soit il est une star soit il est rien , he doesn't have a choice: either he's a star or he's nothing
167,ici,here,adv, moi je reste ici , I'm going to stay here 
168,rien,nothing,"adv,nm,pro"," moi, je n'en sais rien ", I don't know anything about it 
169,cours,course,"nfpl,nm(pl)", ils organisaient des petits cours et des séminaires , they organized short courses and seminars 
170,affaire,"business, matter",nf, occupe-toi de tes affaires , mind your own business 
171,nom,name,nm, quel est son nom? , what is his name? 
172,famille,family,nf, il provient sûrement d'une excellente famille , he surely comes from an excellent family 
173,effet,effect,nm," il s'agit, en effet, d'une question cruciale "," it is, indeed, a crucial question "
174,arriver,"to arrive, happen",v, cela ne m'était pas arrivé depuis , that hasn't happened to me since 
175,possible,possible,adj(f), nous avons donc deux scénarios possibles , so we have two possible scenarios 
176,car,because; bus,"conj,nm"," c'est dommage, car tu vas perdre un gros client "," it's too bad, because you're going to lose a major customer"
177,servir,to serve,v, il m'a servi une coupe de champagne , he served me a glass of champagne 
178,mois,month,nm(pl), il a écrit ce livre en deux mois , he wrote this book in two months 
179,jamais,never,adv, je jure de ne plus jamais te contacter , I swear I will never contact you again 
180,sembler,to seem,v, le processus semble irréversible , the process seems irreversible 
181,tant,"so much, so many",adv, mais vous avez tant à enseigner , but you have so much to teach 
182,vers,toward; verse,"nm(pl),prep", un tram se dirige vers toi. monte dedans , a tram is approaching you. get on it 
183,besoin,need,nm, nous avons vraiment besoin d'aide , we really need some help 
184,revenir,to come back,v, je sais qu'elle ne reviendra jamais , I know she will never return 
185,dès,"from, as soon",prep, on me fera signe dès que vous descendrez , they'll wave to me as soon as you get down there 
186,moyen,"means, way; medium","adj,nm", il songeait aux moyens de profiter de sa victoire , he was dreaming of a way to profit from his victory
187,groupe,group,nm, on va commencer avec le premier groupe , we'll start with the first group 
188,problème,problem,nm, nous avons osé soulever le problème , we dared raise the problem 
189,rapport,"relationship, report",nm, je propose que le rapport du comité soit adopté , I move that the committee's report be adopted
190,peut-être,"perhaps, maybe",adv, j'ai peut-être une idée , I might have an idea 
191,vue,view,nf," la vue est belle, de cette fenêtre ", the view from this window is pretty 
192,maintenant,now,adv, je ne peux pas partir maintenant , I can't leave now 
193,pourquoi,why,"adv,conj,nmi", pourquoi tu ne m'invites pas? , why don't you invite me? 
194,meilleur,"better, best",nadj, j'apprends à être un meilleur mari , I'm learning to be a better husband 
195,trop,"too much, too many",adv, la vie est trop courte. essayez d'être heureuse , life is too short. try to be happy 
196,laisser,to leave,v, il va nous laisser tranquilles , he'll leave us alone 
197,ordre,order,nm, ce sont des scientifiques de premier ordre , they are first-rate scientists 
198,devant,"in front, ahead","adv,nm,prep", une fumée montait devant nous sur l'horizon , smoke billowed ahead of us on the horizon 
199,recevoir,to receive,v, il n'a plus reçu de lettres de moi , he didn't receive any more letters from me 
200,répondre,to answer,v, j'aimerais y répondre par une autre question , I would like to respond to it with another question
201,vivre,to live,"nm,v", aucune Marocaine ne vit seule dans le quartier , no Moroccan woman lives alone in the neighborhood
202,long,"long, lengthy","adv,nadj"," l'éducation sur le long terme paiera, j'en suis convaincu "," long-term education pays off, I'm convinced of that"
203,service,service,nm, je faisais mon service militaire , I was doing my military service 
204,ministre,minister,"nm,nf", les ministres se sont réunis dans la nuit , the ministers met during the night 
205,face,"front, side, face",nf, on s'est trouvés face à face , we found ourselves face to face 
206,chez,"at, with",prep, elle ira peut être vivre définitivement chez lui , she might go live with him permanently 
207,te,"you, to you, from you",pro, je vais t'emmener chez un médecin , I'm going to take you to a doctor 
208,rappeler,"to recall, call back",v, je ne me rappelle pas avoir été aussi heureux , I don't remember having been that happy 
209,présenter,to present,v, papa je te présente Claire ," daddy, this is Claire "
210,accepter,to accept,v, j'accepte avec plaisir votre aimable invitation , I accept with pleasure your kind invitation 
211,agir,to act,v, c'est le moment d'agir , now is the time to act 
212,simple,simple,nadj(f), on préférerait une réponse simple , we would prefer a simple answer 
213,plusieurs,several,"det,adj,pro", il y a plusieurs formes d'humour , there are several types of humor 
214,votre,your,det, permettez-moi de vous parler dans votre langue , allow me to speak to you in your language 
215,important,important,nadj, c'est une question extrêmement importante , it's an extremely important question 
216,présent,present,nadj, il est trop tard pour dîner à présent , it's too late to have supper now 
217,mieux,better,"adji(pl),adv,nm", je ne vous ai jamais mieux aimée , I have never loved you more 
218,poser,"to put, pose, ask",v, je ne me posais plus de questions , I didn't ask myself any more questions 
219,jouer,to play,v, les enfants jouent dehors , the children are playing outside 
220,mot,word,nm, je ne crois pas un mot sorti de ta petite bouche , I don't believe a single word from your little mouth
221,reconnaître,to recognize,v, Joseph reconnut le chant de la grive , Joseph recognized the thrush's song 
222,force,force,nf, parle-moi de ces forces surnaturelles , talk to me of these supernatural forces 
223,situation,situation,nf," dans des situations aussi difficiles, il faut trancher "," in such difficult situations, drastic measures must be taken"
224,offrir,to offer,v," alors, je vous offre la vie éternelle ", so I offer you eternal life 
225,près,"near, nearby, close by","adv,prep", il y a un siège vide près de vous , there's an empty seat near you 
226,choisir,to choose,v, c'est maintenant le moment de choisir , now is the moment to choose 
227,national,national,nadj, il y avait l'intérêt national français , the national interests of the French were involved 
228,projet,project,nm, le gouvernement ne financerait aucun projet touchant cette pratique , the government would not fund any project involving this practice
229,ni,nor,conj," je ne mange pas de viandes, ni de produits laitiers ", I don't eat meat or dairy products 
230,puis,"then, so",adv," elle a tenté de me tuer, puis elle m'a chassée "," she tried to kill me, then she chased me "
231,toucher,to touch,"nm,v", il lui touche l'épaule , he touches her shoulder 
232,train,train,nm, je pris le train pour un aller-retour vers la mer , I took the train on a round-trip outing to the sea
233,aujourd'hui,today,adv," je peux, aujourd'hui encore, en réciter ", even today I can still recite some of them 
234,comment,how,"adv,conj,intj,nmi", voyons un peu comment les choses se sont passées , let's take a look at how things unfolded 
235,surtout,"especially, above all","adv,nm", j'ai surtout besoin d'argent , what I need above all is money 
236,gens,people,nmpl, des gens sont venus me voir , people came to see me 
237,propre,"clean, proper",nadj(f)," la pétasse était propre, mec "," the woman was clean, man "
238,grâce,"thanks, grace, favour",nf, je ne vous demande aucune grâce , I'm not asking you for any favors 
239,idée,idea,nf, que pensez-vous de cette idée? , what do you think of this idea? 
240,selon,according to,prep, tout est prêt selon vos désirs , everything's ready according to your wishes 
241,région,region,nf, la région a connu une cinquantaine de massacres , the region has experienced some fifty massacres
242,aimer,"to like, love",v, tu sais que je t'aime , you know I love you 
243,sens,"sense, meaning",nm(pl), il manquait un sens à donner à ma vie , there was a lack of meaning in my life 
244,retrouver,"to find, recall",v, je te retrouve dehors , I'll find you outside 
245,semaine,week,nf, ma pièce se jouait cette semaine , my play was showing that week 
246,également,"also, too, as well, equally",adv, reculer est également hors de question , backing down is also not an option 
247,ci,"this one, here","adv,pro"," et celui-ci? oui, il est vraiment super "," and this one here? yes, he's really great "
248,façon,"way, manner",nf," c'est une façon de voir, je suppose "," it's a way of looking at it, I guess "
249,nombre,number,nm, il existe un nombre infini de réponses possibles , there are an infinite number of possible answers
250,perdre,to lose,v," vous avez perdu votre mère, mademoiselle? "," did you lose your mother, miss? "
251,français,French,nadj(pl), il faut leur parler en français , you need to speak to them in French 
252,expliquer,to explain,v," je vous en prie, expliquez-moi tout "," I beg you, explain everything to me "
253,quatre,four,"det,nmi", nous sommes quatre étudiants dans la maison , we're four students sharing a house 
254,compte,"account, count",nm, cette ville a eu son compte de désastres , this city has had its fair share of disasters 
255,considérer,to consider,v, la présidence considère cela comme une priorité majeure , the presidency considers that a major priority
256,lorsque,when,conj, que se passe-t-il lorsque nous manquons de sucre? , what happens when we lack sugar? 
257,ouvrir,to open,v," s'il vous plaît, ouvrez les yeux ", please open your eyes 
258,gagner,"to win, earn",v, que le meilleur gagne , may the best man win 
259,exemple,example,nm, ces exemples sont encore bien pauvres , these examples are still very weak 
260,ville,city,nf, nous étions de la même ville , we were from the same city 
261,économique,"economic, economical",nadj(f), le rétablissement économique de l'Asie est plus rapide que prévu , Asian economic recovery is faster than projected
262,mesure,measure,nf, écrire me libère dans une certaine mesure , writing liberates me to a certain extent 
263,histoire,"history, story",nf, on a raconté d'amusantes histoires , we told funny stories 
264,haut,"top, high","adv,nadj", voilà qui vous lancera dans la haute société , that's who will launch you into high society 
265,ensuite,next,adv, ensuite il va au restaurant , then he's going to the restaurant 
266,guerre,war,nf," c'est nul, la guerre! ", war is nothing! 
267,loi,law,nf, je vais voter contre le projet de loi , I'm going to vote against the bill 
268,président,president,nm, j'ai rencontré le président des Etats-Unis , I met the president of the U.S. 
269,exister,to exist,v, le risque n'existe plus , there is no more risk 
270,sûr,sure,adj," tu m'attends? bien sûr, poupée "," will you wait for me? of course, doll "
271,refuser,to refuse,v, attendez...vous refusez d'obéir? , wait... you refuse to obey? 
272,plutôt,rather,adv, ce jet vole plutôt bas , this jet is flying rather low 
273,bureau,"office, desk",nm, il veut vous voir dans son bureau immédiatement , he wants to see you in his office immediately
274,mauvais,"bad, wrong","adv,nadj(pl)", il constitue un pas dans la mauvaise direction , it constitutes a step in the wrong direction 
275,quant,as for,adv, les vents tempêtueux ont modifié la situation quant aux avalanches , the stormy winds changed the avalanche situation
276,mort,dead; death,"adj,nf", la mort ne m'effraye pas , death doesn't frighten me 
277,mal,bad,"adji,adv,nm"," autrement dit, la journée a plutôt mal commencé "," in other words, the day started out rather badly"
278,lire,to read; lira,"nf,v", je ne voulais pas lire mes poèmes , I didn't want to read my poems 
279,réussir,to succeed,v, il ne réussit pas à vendre un seul dessin , he can't manage to sell even one drawing 
280,marché,market,nm, le marché des maisons est resté stable , the housing market has remained stable 
281,condition,condition,nf, l'unité de la condition humaine , the unity of the human condition 
282,international,international,nadj, elle jouit également d'une excellente réputation internationale , she also has an excellent international reputation
283,changer,to change,v," ensemble, ils ont changé beaucoup de choses "," together, they changed many things "
284,oui,yes,"adv,nmi"," oui, oui, je sais! "," yes, yes, I know "
285,public,"public, audience",nadj, je dois beaucoup au public , I owe a lot to the public 
286,humain,human,nadj," vous savez, on est humains, nous aussi "," you know, we are also human "
287,souvent,often,adv, mais alors souvent en fin de soirée c'est la fête ," well, often the night ends with a party "
288,cinq,five,"det,nm(pl)"," j'ai cinq minutes, je dois rencontrer quelqu'un à midi ", I have five minutes someone at noon
289,système,system,nm, j'ai décrit le système idéal , I described the ideal system 
290,travailler,to work,v, nous devons travailler ensemble , we have to work together 
291,jeu,game,nm, nous n'entrons pas dans le jeu de la politique , we don't enter into the political fray 
292,vrai,true,"adv,nadj"," ah, oui, c'est vrai "," oh, yes, that's right "
293,représenter,to represent,v, il représente bien le sport français , he represents French sports very well 
294,madame,"madam, lady",nf, et je suis au service de madame ," I'm at your service, ma'am "
295,société,society,nf, on vit dans une société où tout s'accélère , we live in a society where everything is accelerating
296,difficile,difficult,nadj(f)," c'est difficile, monsieur, très difficile d'être un homme "," sir, it's difficult a man"
297,quoi,what,pro, je ne sais pas de quoi vous parlez , I don't know what you're talking about 
298,entreprise,"enterprise, business",nf, j'ai moi-même l'esprit d'entreprise ,  I myself have an entrepreneurial spirit nan
299,coup,"coup, blow, knock, stroke",nm, je lui donne juste un coup de main. je le lui dois , I'm just giving him a helping hand. I owe it to him
300,or,"gold; hence, thus","conj,nm", je ne suis pas chercheuse d'or , I'm not a gold-digger 
301,social,social,nadj, elle a une dimension sociale autant que biologique , it has a social dimension as much as a biological one
302,assurer,"to assure, insure",v, le contrat assure une pension à l'époux survivant , the contract guarantees a pension to the surviving spouse
303,essayer,to try,v, je vais essayer de vous convaincre , I'll try to convince you 
304,juste,"just, only; fair","adv,nadj(f)"," vous êtes juste et impartial, comme toujours "," you're fair and impartial, as always "
305,étranger,foreigner; foreign,nadj, la situation est bien différente à l'étranger , the situation is very different abroad 
306,empêcher,to prevent,v, cela n'aurait évidemment rien empêché , apparently that wouldn't have prevented anything 
307,million,million,nm, un quart de million d'articles ont été distribués , a quarter million articles were distributed 
308,manière,"manner, way",nf," de cette manière, nous serons ensemble "," this way, we will be together "
309,sortir,"to go out, leave",v, sortez ou j'appelle la police , get out of here or I'll call the police 
310,prix,price; prize,nm(pl), il y a un prix pour les gagnants , there is a prize for the winners 
311,terme,"term, deadline",nm, l'éducation sur le long terme paiera , education will pay off in the long term 
312,longtemps,"a long time, a long while",adv, pendant longtemps il ne bougea pas de son lit , for a long while he didn't move from his bed 
313,reprendre,"to resume, recover, start again, take back",v," on peut les arrêter, leur reprendre cette ville "," we can arrest them, take back this city from them"
314,courant,current,"adj,nm"," je suis au courant, il a téléphoné "," I'm aware of it, he telephoned "
315,intérêt,interest,nm, l'avenir ne présente guère d'intérêt , the future is hardly interesting 
316,mener,to lead,v, la police mène une enquête pour arrêter les assaillants , the police are leading an investigation to arrest the attackers
317,information,information,nf, ces dirigeants ont décidé de taire ces informations , these leaders decided to suppress this information
318,détail,detail,nm, vous devriez tout me raconter en détails , you should tell me everything in minute detail 
319,appartenir,to belong,v, cet argent n'appartient pas au gouvernement , this money does not belong to the government 
320,liberté,"liberty, freedom",nf, on se bat pour la liberté d'expression , we're fighting for freedom of expression 
321,assez,enough,adv, les journées ne sont plus assez longues , the days are no longer long enough 
322,risquer,to risk,v, un avocat ne viendra pas risquer sa vie , a lawyer won't come here to risk his life 
323,chacun,each,pro," ils ont chacun leurs intérêts, leurs passions "," they each have their own interests, passions "
324,concerner,to concern,v," en ce qui me concerne, je voudrais te féliciter "," for my part, I would like to congratulate you "
325,maison,house,nf, elle est revenue habiter à la maison , she came back to live at home 
326,d'abord,first of all,adv, je voudrais d'abord savoir quel métier tu exerces , I would first of all like to know what you do for a living
327,apprendre,to learn,v, où as-tu appris le métier? , where did you learn your trade? 
328,niveau,level,nm, ce niveau de collaboration ne sera pas maintenu , this level of cooperation will not be maintained
329,rencontrer,to meet,v, il rencontrera le pape au Vatican vendredi , he will meet the Pope at the Vatican on Friday 
330,ton,your; tone,"det,nm", le ton était donné , the tone was sounded 
